Date,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,kasus_harian,kasus_aktif,total_kasus,Sembuh,sembuh_baru,Meninggal,meninggal_baru,tingkat_kesembuhan,tingkat_kematian,dosis_pertama,dosis_kedua
2021-03-18,10.0,306.0,293.0,59.0,8.0,257.0,1719.0,35.0,1261.0,658.0,339.0,51.0,328.0,75.0,118.0,29.0,8.0,67.0,39.0,105.0,10.0,87.0,5.0,146.0,24.0,37.0,108.0,9.0,14.0,37.0,126.0,1.0,167.0,34.0,6570.0,131753.0,1443853.0,1272958.0,6285.0,39142.0,227.0,0.8816396128968808,0.02710940795219458,4838752.0,1948531.0
2021-03-19,16.0,207.0,324.0,58.0,20.0,161.0,1588.0,32.0,1361.0,611.0,305.0,30.0,270.0,113.0,197.0,45.0,19.0,28.0,40.0,109.0,14.0,85.0,6.0,142.0,55.0,10.0,132.0,19.0,4.0,25.0,110.0,14.0,96.0,3.0,6279.0,131828.0,1450132.0,1278965.0,6007.0,39339.0,197.0,0.8819645384006422,0.027127875255493983,5124948.0,2221200.0
2021-03-20,15.0,130.0,233.0,165.0,10.0,242.0,1937.0,25.0,822.0,219.0,289.0,40.0,221.0,88.0,215.0,45.0,12.0,41.0,52.0,77.0,12.0,86.0,26.0,60.0,42.0,84.0,219.0,10.0,10.0,42.0,40.0,0.0,160.0,17.0,5656.0,131616.0,1455788.0,1284725.0,5760.0,39447.0,108.0,0.8824945665165532,0.027096665173775302,5533379.0,2301978.0
2021-03-21,0.0,186.0,211.0,95.0,13.0,95.0,1638.0,22.0,517.0,102.0,292.0,39.0,218.0,201.0,228.0,21.0,5.0,33.0,54.0,87.0,4.0,53.0,17.0,49.0,21.0,58.0,49.0,0.0,4.0,37.0,5.0,3.0,37.0,2.0,4396.0,129844.0,1460184.0,1290790.0,6065.0,39550.0,103.0,0.8839913325991793,0.027085627564745265,5567280.0,2312601.0
2021-03-22,20.0,174.0,440.0,84.0,3.0,143.0,1474.0,14.0,1253.0,741.0,270.0,0.0,71.0,87.0,207.0,106.0,33.0,64.0,45.0,41.0,16.0,85.0,0.0,53.0,84.0,36.0,74.0,7.0,4.0,15.0,20.0,2.0,76.0,2.0,5744.0,128250.0,1465928.0,1297967.0,7177.0,39711.0,161.0,0.8854234314372875,0.027089324987311793,5732210.0,2494422.0
2021-03-23,15.0,182.0,298.0,44.0,35.0,205.0,815.0,19.0,1216.0,732.0,238.0,39.0,235.0,148.0,140.0,41.0,15.0,15.0,27.0,90.0,0.0,97.0,2.0,65.0,70.0,37.0,167.0,3.0,21.0,24.0,59.0,0.0,169.0,34.0,5297.0,126439.0,1471225.0,1304921.0,6954.0,39865.0,154.0,0.8869622253564207,0.027096467229689544,5978251.0,2709545.0
2021-03-24,13.0,189.0,258.0,68.0,24.0,254.0,890.0,24.0,1329.0,403.0,289.0,42.0,275.0,161.0,190.0,16.0,31.0,38.0,51.0,89.0,0.0,91.0,3.0,77.0,33.0,51.0,125.0,7.0,26.0,15.0,66.0,1.0,98.0,0.0,5227.0,123926.0,1476452.0,1312543.0,7622.0,39983.0,118.0,0.8889845386101275,0.027080460455199358,6389837.0,2941016.0
2021-03-25,6.0,201.0,91.0,101.0,7.0,258.0,1726.0,48.0,1172.0,505.0,348.0,32.0,320.0,107.0,236.0,37.0,42.0,41.0,118.0,111.0,29.0,74.0,1.0,68.0,24.0,51.0,120.0,0.0,33.0,22.0,116.0,1.0,54.0,7.0,6107.0,125279.0,1482559.0,1317199.0,4656.0,40081.0,98.0,0.8884631235586578,0.027035011760071608,6730456.0,3015190.0
2021-03-26,15.0,178.0,176.0,52.0,8.0,232.0,1381.0,15.0,855.0,262.0,340.0,54.0,252.0,95.0,215.0,48.0,17.0,17.0,89.0,115.0,17.0,79.0,6.0,32.0,34.0,43.0,169.0,9.0,6.0,18.0,89.0,0.0,43.0,21.0,4982.0,124497.0,1487541.0,1322878.0,5679.0,40166.0,85.0,0.8893052359565216,0.027001608695155294,6990082.0,3152612.0
2021-03-27,21.0,145.0,220.0,75.0,5.0,140.0,1354.0,45.0,476.0,141.0,275.0,66.0,199.0,183.0,267.0,27.0,25.0,35.0,84.0,110.0,19.0,80.0,13.0,34.0,13.0,48.0,112.0,7.0,15.0,44.0,121.0,1.0,53.0,8.0,4461.0,124517.0,1492002.0,1327121.0,4243.0,40364.0,198.0,0.8894900945172995,0.02705358303809244,7190663.0,3235027.0
2021-03-28,12.0,121.0,79.0,94.0,27.0,127.0,1470.0,53.0,534.0,100.0,266.0,10.0,164.0,111.0,248.0,59.0,20.0,6.0,101.0,106.0,5.0,69.0,4.0,35.0,18.0,35.0,125.0,4.0,3.0,31.0,15.0,3.0,20.0,8.0,4083.0,124236.0,1496085.0,1331400.0,4279.0,40449.0,85.0,0.8899226982424127,0.027036565435787405,7251039.0,3246809.0
2021-03-29,8.0,144.0,328.0,63.0,10.0,106.0,1014.0,46.0,1610.0,388.0,251.0,0.0,124.0,72.0,275.0,15.0,11.0,32.0,91.0,41.0,2.0,74.0,4.0,46.0,26.0,61.0,69.0,6.0,0.0,11.0,50.0,1.0,27.0,2.0,5008.0,123694.0,1501093.0,1336818.0,5418.0,40581.0,132.0,0.8905630763716839,0.027034301006000294,7435851.0,3330639.0
2021-03-30,9.0,169.0,319.0,89.0,52.0,283.0,384.0,20.0,911.0,649.0,279.0,40.0,246.0,79.0,221.0,34.0,8.0,60.0,91.0,106.0,8.0,69.0,7.0,104.0,45.0,51.0,132.0,12.0,12.0,15.0,52.0,0.0,116.0,10.0,4682.0,122326.0,1505775.0,1342695.0,5877.0,40754.0,173.0,0.8916969666782886,0.02706513257292756,7840024.0,3561192.0
2021-03-31,30.0,200.0,950.0,68.0,35.0,272.0,965.0,27.0,975.0,497.0,301.0,53.0,200.0,168.0,267.0,25.0,23.0,42.0,102.0,126.0,4.0,95.0,7.0,94.0,40.0,29.0,160.0,6.0,0.0,19.0,58.0,1.0,90.0,8.0,5937.0,122524.0,1511712.0,1348330.0,5635.0,40858.0,104.0,0.8919225355094093,0.02702763489341885,8115714.0,3717081.0
2021-04-01,11.0,172.0,905.0,100.0,23.0,176.0,1337.0,62.0,904.0,670.0,281.0,39.0,214.0,63.0,262.0,22.0,31.0,15.0,133.0,134.0,5.0,65.0,6.0,83.0,32.0,43.0,199.0,3.0,6.0,23.0,13.0,1.0,86.0,23.0,6142.0,121222.0,1517854.0,1355578.0,7248.0,41054.0,196.0,0.8930885315715478,0.027047397180492986,8371577.0,3854451.0
2021-04-02,9.0,169.0,850.0,46.0,7.0,254.0,1240.0,42.0,661.0,239.0,274.0,53.0,238.0,104.0,283.0,16.0,32.0,17.0,75.0,150.0,5.0,61.0,2.0,19.0,18.0,72.0,203.0,0.0,12.0,30.0,52.0,3.0,79.0,10.0,5325.0,121011.0,1523179.0,1361017.0,5439.0,41151.0,97.0,0.893537135162709,0.0270165226805254,8424729.0,3867762.0
2021-04-03,6.0,141.0,910.0,83.0,6.0,118.0,1098.0,32.0,360.0,274.0,230.0,49.0,138.0,90.0,154.0,62.0,56.0,21.0,39.0,86.0,11.0,64.0,0.0,54.0,14.0,44.0,116.0,0.0,3.0,15.0,21.0,1.0,30.0,19.0,4345.0,120068.0,1527524.0,1366214.0,5197.0,41242.0,91.0,0.8943977312304094,0.026999248456980054,8544910.0,3954343.0
2021-04-04,4.0,255.0,3501.0,60.0,38.0,123.0,736.0,23.0,338.0,195.0,221.0,48.0,154.0,92.0,290.0,43.0,10.0,19.0,41.0,57.0,0.0,73.0,8.0,58.0,18.0,28.0,217.0,0.0,0.0,18.0,17.0,3.0,32.0,11.0,6731.0,116709.0,1534255.0,1375877.0,9663.0,41669.0,427.0,0.8967720489749097,0.0271591097959596,8634321.0,4014803.0
2021-04-05,11.0,187.0,259.0,102.0,14.0,135.0,523.0,21.0,910.0,496.0,230.0,0.0,90.0,106.0,153.0,7.0,44.0,32.0,54.0,51.0,1.0,74.0,0.0,31.0,48.0,28.0,85.0,1.0,2.0,11.0,6.0,0.0,0.0,0.0,3712.0,114475.0,1537967.0,1381677.0,5800.0,41815.0,146.0,0.8983788338761495,0.027188489740026932,8856373.0,4230800.0
2021-04-06,13.0,236.0,187.0,62.0,28.0,233.0,487.0,60.0,964.0,651.0,295.0,36.0,197.0,70.0,153.0,14.0,23.0,7.0,49.0,105.0,11.0,77.0,10.0,209.0,16.0,38.0,214.0,8.0,11.0,20.0,30.0,1.0,27.0,7.0,4549.0,114566.0,1542516.0,1385973.0,4296.0,41977.0,162.0,0.8985145048738554,0.02721333198488703,9021106.0,4431504.0
2021-04-07,39.0,210.0,163.0,72.0,42.0,272.0,862.0,47.0,811.0,535.0,346.0,40.0,163.0,81.0,140.0,6.0,34.0,26.0,70.0,129.0,6.0,76.0,5.0,227.0,57.0,44.0,222.0,11.0,6.0,26.0,60.0,1.0,15.0,16.0,4860.0,113570.0,1547376.0,1391742.0,5769.0,42064.0,87.0,0.8994206967149548,0.027184084540538306,9196435.0,4554695.0
2021-04-08,42.0,205.0,121.0,95.0,68.0,220.0,1239.0,50.0,673.0,796.0,297.0,44.0,153.0,64.0,301.0,0.0,26.0,43.0,90.0,215.0,11.0,71.0,16.0,153.0,23.0,39.0,300.0,2.0,9.0,31.0,75.0,3.0,29.0,0.0,5504.0,111271.0,1552880.0,1399382.0,7640.0,42227.0,163.0,0.9011526969244243,0.027192700015455155,9374089.0,4697396.0
2021-04-09,28.0,207.0,143.0,71.0,47.0,222.0,1013.0,50.0,931.0,569.0,308.0,77.0,205.0,111.0,281.0,42.0,58.0,25.0,79.0,145.0,0.0,79.0,1.0,80.0,55.0,49.0,231.0,0.0,2.0,27.0,66.0,6.0,42.0,15.0,5265.0,110138.0,1558145.0,1405659.0,6277.0,42348.0,121.0,0.9021361939999165,0.027178471836703258,9809471.0,4952219.0
2021-04-10,20.0,153.0,99.0,54.0,16.0,230.0,977.0,8.0,997.0,280.0,277.0,73.0,187.0,114.0,257.0,27.0,25.0,17.0,94.0,155.0,1.0,78.0,1.0,96.0,20.0,54.0,265.0,4.0,1.0,15.0,73.0,3.0,45.0,7.0,4723.0,111137.0,1562868.0,1409288.0,3629.0,42443.0,95.0,0.9017319440925273,0.027157123954166314,10002901.0,5079048.0
2021-04-11,7.0,115.0,105.0,183.0,45.0,130.0,1031.0,20.0,747.0,205.0,249.0,52.0,202.0,143.0,241.0,10.0,38.0,19.0,52.0,114.0,14.0,75.0,2.0,30.0,8.0,52.0,191.0,0.0,7.0,10.0,20.0,0.0,0.0,10.0,4127.0,109958.0,1566995.0,1414507.0,5219.0,42530.0,87.0,0.9026876282311047,0.027141120424762046,10049541.0,5101921.0
2021-04-12,24.0,169.0,331.0,81.0,6.0,131.0,692.0,5.0,1470.0,737.0,251.0,0.0,97.0,76.0,82.0,17.0,24.0,32.0,63.0,57.0,0.0,69.0,1.0,43.0,49.0,68.0,146.0,0.0,24.0,8.0,30.0,3.0,42.0,1.0,4829.0,109372.0,1571824.0,1419796.0,5289.0,42656.0,126.0,0.903279247549344,0.027137898390659516,10280073.0,5322501.0
2021-04-13,28.0,150.0,183.0,117.0,25.0,232.0,828.0,40.0,1456.0,859.0,249.0,80.0,158.0,107.0,142.0,14.0,87.0,5.0,60.0,101.0,15.0,67.0,2.0,94.0,55.0,79.0,253.0,3.0,2.0,61.0,12.0,6.0,116.0,16.0,5702.0,108599.0,1577526.0,1426145.0,6349.0,42782.0,126.0,0.904038982558766,0.027119679802424808,10377734.0,5433715.0
2021-04-14,26.0,121.0,86.0,144.0,15.0,292.0,661.0,51.0,1568.0,716.0,262.0,92.0,196.0,82.0,256.0,17.0,45.0,20.0,78.0,174.0,3.0,60.0,2.0,118.0,61.0,58.0,335.0,6.0,18.0,30.0,0.0,1.0,55.0,7.0,5656.0,108384.0,1583182.0,1431892.0,5747.0,42906.0,124.0,0.9044392874603172,0.027101116611987757,10481905.0,5572859.0
2021-04-15,40.0,202.0,81.0,188.0,46.0,221.0,1330.0,49.0,1216.0,841.0,294.0,88.0,185.0,85.0,221.0,28.0,129.0,31.0,63.0,158.0,25.0,68.0,2.0,93.0,27.0,48.0,269.0,3.0,0.0,14.0,63.0,1.0,52.0,16.0,6177.0,108032.0,1589359.0,1438254.0,6362.0,43073.0,167.0,0.9049270806658534,0.02710086267482677,10600469.0,5715813.0
2021-04-16,22.0,211.0,152.0,146.0,55.0,218.0,979.0,53.0,998.0,669.0,290.0,98.0,127.0,116.0,153.0,7.0,66.0,86.0,77.0,168.0,6.0,66.0,6.0,45.0,26.0,67.0,235.0,2.0,5.0,28.0,44.0,4.0,131.0,7.0,5363.0,107297.0,1594722.0,1444229.0,5975.0,43196.0,123.0,0.9056305738555058,0.027086852755527295,10709628.0,5821888.0
